id,name
1116,Keybol
1117,TopWare Interactive
1118,Artifex Mundi
1119,Lost Decade Games
1120,Lince Works
1121,Rogue Earth LLC
1122,Knuckle Cracker
1123,BBEW BBEW
1124,Coldrice Games LLC
1125,DMD Enterprise
1126,Indietopia Games 
1127,LeGrudge & Rugged
1128,Siege Games
1129,Application Systems Heidelberg
1130,Doragon Entertainment
1131,WRF Studios
1132,gamigo AG
1133,Volens Nolens Games
1134,Serious Bros.
1135,Playful Corp.
1136,Yuisy
1137,SOEDESCO
1138,MAG Studios
1139,Digital Fusion Inc.
1140,InoCo
1141,Curve Digital
1142,4PM GAME
1143,1999UEM
1144,Wingware
1145,Unknown Worlds Entertainment 
1146,PixelNAUTS
1147,polynation games ltd
1148,GameMill
1149,Digital Tentacle
1150,"""Never Dont Play"""
1151,Mastertech
1152,Idea Factory International
1153,Agent Mega
1154,Suba Games
1155,Armor Games Studios
1156,Marauder Interactive
1157,Paradox interactive
1158,Zero Rock Entertainment
1159,Private Division
1160,Crystal Shard
1161,Humongous Entertainment
1162,Treehouse Ltd
1163,Oak Gear
1164,Refactored Games OÜ
1165,Epiphany Games
1166,BeamNG
1167,Morgopolis Studios
1168,Teyon
1169,Finish Line Games
1170,Finji
1171,Silden
1172,FromSoftware
1173,Holy Warp
1174,DL Softworks
1175,Playstige Interactive
1176,Egamea Game Studios
1177,Visual Entertainment And Technologies
1178,Squinkifer Productions\t
1179,Magic Notion Ltd
1180,Tortuga Team
1181,RageSquid
1182,Schell Games
1183,Boneloaf
1184,Payload Studios
1185,Kraken Empire
1186,Pocketwatch Games
1187,BadFly Interactive
1188,Ice Water Games
1189,Berserk Games
1190,Frogdice
1191,WaterMelon
1192,Trichotomy
1193,ALICE IN DISSONANCE
1194,Nemoria Entertainment
1195,Adventure Productions
1196,GLITCH
1197,Viva  Media Inc
1198,Disney
1199,b-alive gmbh
1200,CAPCOM Co.
1201,Leadwerks Software
1202,different cloth
1203,2dengine
1204,Barnstorm Games
1205,Star Vault AB
1206,Sirlin Games
1207,Dinosaur Polo Club
1208,Shit-Happens-Software
1209,Castle Pixel
1210,WZOGI
1211,Akupara Games
1212,D-Dub Software
1213,Spark Plug Games
1214,Adventurepro Games LLC
1215,Perfect.Golf
1216,Fireproof Games
1217,sakevisual
1218,Shaman Games Studio
1219,astragon Entertainment 
1220,WOBBL3 Entertainment LLC
1221,Incandescent Games
1222,Retro Game Crunch
1223,Bitbox Ltd.
1224,ProjectorGames
1225,Draknek
1226,Quantized Bit
1227,Double Damage Games
1228,Defrost Games
1229,League of Geeks
1230,Apparition Games
1231,CyberStep
1232,Vogelsap
1233,Logic Artists
1234,Panzer Gaming Studios
1235,Means Interactive
1236,ELYLAND  INVESTMENT COMPANY Ltd
1237,Over The Moon
1238,Six Foot
1239,Sunstone Games
1240,N-Game Studios
1241,Bretwalda Games
1242,SomaSim
1243,Handsome Games
1244,Haruneko Entertainment
1245,8Floor
1246,Trese Brothers
1247,Meteoric Games
1248,One Aperture
1249,OtakuMaker SARL
1250,JumpCore Productions
1251,Gentleman Squid Studio
1252,Niels Bauer Games
1253,MY.GAMES
1254,Galaxy Pest Control
1255,Electric Eggplant
1256,Kodots Games
1257,Pyrodactyl
1258,Utopian World of Sandwiches
1259,Kumobius
1260,"""Travellers Tales"""
1261,Orphic Software
1262,SA Industry
1263,SOF Studios Ltd
1264,30/30
1265,The Knights of Unity
1266,Naga Entertainment
